subject,what_about,comments,gender,heard_of,hear_more,what_is_fixed,duration,dweck_sum_score,goal1,goal2,goal3,goal_wording,prompt_wording,dependent_measure,trial_type,version,goal_variable,goal_timeline,goal_impress,response,can_describe_fixed
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,g,ability,ability,NA,for_me,0.59,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,g,show_effort,effort,NA,show,0.84,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,g,improve,improve,NA,for_me,0.54,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,g,test_bad,test,NA,for_me,0.7,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,g,test_now,test,now,for_me,0.34,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,g,show_ability,ability,NA,show,0.86,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,g,test_future,test,future,for_me,0.7,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,5,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,d,You can always substantially change how intelligent you are,NA,NA,NA,6,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,5,no
0,Its about math class,nice task,male,no,yes,,116857,14,NA,NA,NA,achieve,orignal,original,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,6,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,1,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,6,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,6,no
1,to see how people feel about education,thank you that was interesting,female,no,no,,83856,4,improving at math,being good at math,doing well on future tests,value,original,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,1,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,g,show_effort,effort,NA,show,1,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,g,improve,improve,NA,for_me,1,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,g,show_ability,ability,NA,show,0.36,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,g,ability,ability,NA,for_me,0.5,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,g,test_now,test,now,for_me,0.87,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,g,test_bad,test,NA,for_me,0,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,g,NA,NA,NA,NA,NA,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,1,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,6,no
2,no idea,,male,no,yes,,90371,5,NA,NA,NA,original,training,original,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,1,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,3,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,4,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,3,no
3,Attitudes about learning,,male,no,no,,82627,12,being good at math,doing well on this test,doing well on future tests,value,original,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,4,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,g,improve,improve,NA,for_me,0.81,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,g,ability,ability,NA,for_me,0.74,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,g,test_bad,test,NA,for_me,0.13,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,g,show_effort,effort,NA,show,0.67,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,g,show_ability,ability,NA,show,0.66,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,g,test_now,test,now,for_me,0.9,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,g,NA,NA,NA,NA,NA,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,5,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,2,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,2,no
4,Showing opinions on how rewarding hard work is,,male,no,no,,147850,8,NA,NA,NA,original,training,original,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,g,NA,NA,NA,NA,NA,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,3,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,4,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,3,yes
5,Im not sure,,female,yes,no,It means that you cannot change how you are,113809,11,doing well on this test,improving at math,doing well on future tests,value,original,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,5,yes
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,g,NA,NA,NA,NA,NA,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,2,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,2,no
6,Seeing how we feel about intelligence,Very fun thank you,male,no,no,,140933,9,doing well on this test,improving at math,being good at math,value,original,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,4,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,1,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,6,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,4,no
7,How people feel about math,Very easy love doing your guys surveys thank you,female,no,no,,116620,6,showing your teacher that you have high math ability,being good at math,doing well on this test,original,original,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,1,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,g,show_ability,ability,NA,show,0,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,g,improve,improve,NA,for_me,0.68,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,g,ability,ability,NA,for_me,0.72,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,g,show_effort,effort,NA,show,0,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,g,test_bad,test,NA,for_me,0,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,g,test_now,test,now,for_me,1,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,g,NA,NA,NA,NA,NA,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,d,You can always substantially change how intelligent you are,NA,NA,NA,4,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,3,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,2,no
8,Unsure,This was odd,male,no,no,,211379,11,NA,NA,NA,original,training,original,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,4,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,g,NA,NA,NA,NA,NA,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,g,NA,NA,NA,NA,NA,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,g,NA,NA,NA,NA,NA,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,g,NA,NA,NA,NA,NA,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,g,NA,NA,NA,NA,NA,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,g,NA,NA,NA,NA,NA,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,g,NA,NA,NA,NA,NA,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,2,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,2,no
9,how i view intelligence ,interesting study,male,no,yes,,235323,11,improving at math,doing well on the upcoming test,being good at math,original,training,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,2,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,g,show_effort,effort,NA,show,0.32,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,g,improve,improve,NA,for_me,0.69,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,g,test_bad,test,NA,for_me,0.28,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,g,test_now,test,now,for_me,0.8,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,g,ability,ability,NA,for_me,0.72,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,g,show_ability,ability,NA,show,0.33,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,g,NA,NA,NA,NA,NA,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,2,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,2,no
10,math,,male,no,no,,61454,8,NA,NA,NA,original,training,original,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,5,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,5,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,2,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
11,perception,none,male,no,no,,78483,10,doing well on future tests,being good at math,doing well on this test,original,original,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,6,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,g,show_effort,effort,NA,show,0.09,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,g,improve,improve,NA,for_me,0.67,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,g,test_bad,test,NA,for_me,0.69,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,g,test_now,test,now,for_me,0.26,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,g,ability,ability,NA,for_me,0.13,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,g,show_ability,ability,NA,show,0.13,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,g,NA,NA,NA,NA,NA,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,5,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,2,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,1,no
12,I dont know,No comment,female,no,no,,82295,7,NA,NA,NA,original,training,original,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,2,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,d,You can always substantially change how intelligent you are,NA,NA,NA,5,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,2,no
13,how i view challenging tasks,interesting study,female,no,yes,,218431,7,doing well on future tests,improving at math,being good at math,original,original,forced-choice,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,6,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,g,test_bad,test,NA,for_me,0.25,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,g,test_now,test,now,for_me,0.62,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,g,show_effort,effort,NA,show,0.95,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,g,improve,improve,NA,for_me,0.83,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,g,show_ability,ability,NA,show,0.57,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,g,ability,ability,NA,for_me,0.74,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,g,NA,NA,NA,NA,NA,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,d,No matter who you are you can significantly change your intelligence level,NA,NA,NA,6,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,d,You have a certain amount of intelligence and you cant really do much to change it,NA,NA,NA,1,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,d,You can learn new things but you cant really change your basic intelligence,NA,NA,NA,1,no
14,People opinions on trying hard,,male,no,no,,175888,4,NA,NA,NA,original,training,original,d,You can always substantially change how intelligent you are,NA,NA,NA,6,no
15,Perception about own intelligence level and probability of improving it,,male,yes,yes,A person with single mindset that wont change what ever happens around him,279627,13,improving at math,showing your teacher that you try at math,doing well on this test,original,original,forced-choice,g,NA,NA,NA,NA,NA,no
