entity1,entity2,increm1,increm2,theoryType,ability,effort,difficulty,response,practice0,practice6,practice10,sanity0,sanity1,workerID,gender,heardOf
4,4,3,3,performance,high,medium,difficult,0.74,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,performance,high,high,easy,0.88,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,performance,low,high,difficult,0.34,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,performance,low,medium,difficult,0.28,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,performance,high,high,difficult,0.79,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,performance,low,high,easy,0.48,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,improvement,low,low,difficult,0.29,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,improvement,high,medium,easy,0.54,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,improvement,low,high,easy,0.48,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,improvement,high,medium,difficult,0.54,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,improvement,high,high,easy,0.94,0.0,0.65,1.0,0.0,1.0,80,male,no
4,4,3,3,improvement,low,medium,easy,0.54,0.0,0.65,1.0,0.0,1.0,80,male,no
3,3,3,3,improvement,low,low,difficult,0,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,improvement,high,high,easy,0,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,improvement,low,high,easy,1,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,improvement,low,medium,easy,0.5,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,improvement,high,low,easy,0,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,improvement,high,medium,easy,0,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,performance,high,high,difficult,1,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,performance,high,high,easy,1,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,performance,low,medium,difficult,0.15,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,performance,low,low,difficult,0.11,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,performance,high,medium,easy,1,0.0,0.6,1.0,0.0,1.0,81,female,yes
3,3,3,3,performance,high,medium,difficult,0.83,0.0,0.6,1.0,0.0,1.0,81,female,yes
2,2,5,4,improvement,low,medium,easy,0.16,0.01,0.62,0.99,0.15,0.98,82,male,no
